,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.6572851010101011,0.7706516414141414,-1.0,-1.0,0.7495599747474747,0.8974810606060605
banana,0.703277777777778,0.7902301587301587,1.0,1.0,0.860111111111111,0.8144444444444444
corn,0.45877777777777784,0.6264365079365077,1.0,1.0,0.5152777777777777,0.9016666666666667
cube,0.8432222222222222,0.8693333333333334,1.0,1.0,0.8983333333333333,0.8883333333333332
cucumb,0.4133333333333333,0.5938809523809525,1.0,1.0,0.4722777777777777,0.9038888888888886
fruit,0.7723333333333333,0.8029761904761905,1.0,1.0,0.8883333333333333,0.7941666666666667
green,0.7599444444444444,0.8413174603174604,0.6666666666666666,2.0,0.7785555555555556,0.9822222222222222
like,0.875,0.9535,0.0,1.0,1.0,0.9249999999999998
look,0.8383333333333333,0.9346666666666668,0.3333333333333333,1.0,1.0,0.8983333333333332
salad,0.4444444444444445,0.6218571428571429,1.0,1.0,0.5239999999999999,0.8899999999999999
use,0.8099999999999999,0.9360000000000002,0.0,1.0,1.0,0.9008333333333333
yellow,0.4056666666666667,0.5778809523809524,1.0,2.0,0.4359166666666667,0.9616666666666666
