Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
bowl,band_aid/band_aid_4 (nan)      pliers/pliers_2 (nan)      pencil/pencil_5 (nan)      bowl/bowl_1 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      ,bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,bowl/bowl_1 (nan)      pliers/pliers_2 (nan)      bowl/bowl_1 (nan)      band_aid/band_aid_4 (nan)      pencil/pencil_5 (nan)      bowl/bowl_1 (nan)      ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,bowl/bowl_1 (nan)      bowl/bowl_1 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      pencil/pencil_5 (nan)      band_aid/band_aid_4 (nan)      pliers/pliers_2 (nan)      ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,bowl/bowl_1 (nan)      bowl/bowl_1 (nan)      pencil/pencil_5 (nan)      pliers/pliers_2 (nan)      band_aid/band_aid_4 (nan)      bowl/bowl_1 (nan)      ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,bowl/bowl_1 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      bowl/bowl_1 (nan)      pencil/pencil_5 (nan)      pliers/pliers_2 (nan)      band_aid/band_aid_4 (nan)      ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,band_aid/band_aid_4 (nan)      pencil/pencil_5 (nan)      pliers/pliers_2 (nan)      bowl/bowl_1 (nan)      ,bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,band_aid/band_aid_4 (nan)      pliers/pliers_2 (nan)      pencil/pencil_5 (nan)      bowl/bowl_1 (nan)      ,bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,bowl/bowl_1 (nan)      food_jar/food_jar_3 (nan)      pencil/pencil_5 (nan)      band_aid/band_aid_4 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      pliers/pliers_2 (nan)      ,bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      bowl/bowl_1 (nan)      band_aid/band_aid_4 (nan)      pliers/pliers_2 (nan)      pencil/pencil_5 (nan)      food_jar/food_jar_3 (nan)      ,bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
