,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.7186554232804233,0.8179639742728366,-1.0,-1.0,0.8348194689398393,0.8776655888692925
banana,0.6476807760141093,0.7471000251952633,1.0,1.0,0.8236243386243387,0.771869488536155
corn,0.7603527336860669,0.8168279163517259,1.0,1.0,0.7790564373897708,0.9149911816578483
cube,0.9063051146384481,0.9289241622574955,1.0,1.0,1.0,0.8883597883597883
cucumber,0.6006084656084656,0.7365066767447722,1.0,1.0,0.6649559082892416,0.9228395061728396
fruit,0.6485361552028218,0.7448904006046864,1.0,1.0,0.8203968253968255,0.775132275132275
green,0.41000000000000003,0.6086885865457294,1.0,1.0,0.48082010582010576,0.9171075837742506
look,0.8438492063492063,0.9267195767195766,0.5,1.0,1.0,0.885978835978836
salad,0.8961463844797178,0.9416578483245149,0.6666666666666666,1.0,1.0,0.9081128747795414
used,0.8174603174603174,0.9349735449735449,0.0,1.0,1.0,0.8973544973544975
yellow,0.8338624338624339,0.9470899470899471,0.0,2.3333333333333335,1.0,0.9205467372134039
