,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.5471902067411327,0.7156035350354134,-1.0,-1.0,0.6727896335488929,0.8787497550460515
banana,0.2136331569664903,0.49570420760896955,1.0,1.0,0.39616402116402116,0.7840388007054674
corn,0.41616402116402107,0.6152393550012598,1.0,1.0,0.48765432098765427,0.916225749559083
cube,0.9071869488536154,0.9304409171075839,1.0,1.0,1.0,0.8911816578483245
cucumber,0.5705114638447972,0.7157407407407408,1.0,1.0,0.6497883597883598,0.9087301587301587
fruit,0.20602292768959435,0.4915243134290753,1.0,1.0,0.3936067019400353,0.7774250440917108
green,0.4055467372134039,0.60730788611741,1.0,1.0,0.4804938271604938,0.91331569664903
look,0.8400132275132275,0.926137566137566,0.5,1.0,1.0,0.8846560846560846
salad,0.5299206349206349,0.6985613504661123,0.6666666666666666,1.0,0.6306172839506172,0.9097001763668431
used,0.8373015873015873,0.9423809523809523,0.0,1.0,1.0,0.909259259259259
yellow,0.8386243386243386,0.9485008818342151,0.0,2.3333333333333335,1.0,0.9225749559082893
