mouse/mouse_3,this is a computer mouse
marker/marker_4,a black permanent marker
shampoo/shampoo_1,this is a medium tube of crest toothpaste the prominent colors of this tube are red
plate/plate_4,a light green colored plate the plate is round with a raised rim all the way around
band_aid/band_aid_5,a blue and white box of bandaids
can_opener/can_opener_2,use for eating purpose
picture_frame/picture_frame_2,a tripled paned picture holder
band_aid/band_aid_1,a box of bandages
hammer/hammer_5,this item is used to put nails into a wall so you can hang a picture
cell_phone/cell_phone_2,this is a silver flip phone
apple/apple_2, with the name ashley on it
notebook/notebook_1,this is a paper notebook with a red cover
food_can/food_can_1,a can of tomatos
bell_pepper/bell_pepper_2,a red bell pepper
coffee_mug/coffee_mug_1,this is a red mug with white near the bottom
screwdriver/screwdriver_4,the object is a screwdriver with a black and yellow handle
eye_glasses/eye_glasses_3,the object is a pair of glasses the frame of the glasses is blue and black
lemon/lemon_5, white box of bandaids it has a picture of woody from toy story on it
book/book_5,this is a large hard cover book with a brown and white cover
shampoo/shampoo_2,an old spice brand body wash container
book/book_1,there is a copy of the writing manual the craft of research
marker/marker_5,a black sharpie marker
syringe/syringe_2, somewhat thick
spoon/spoon_1, about 3 inches tall  it has a white plastic cap on top of the bottle that screws on
coffee_mug/coffee_mug_1,this object is a pair or pliers with black handles
scissors/scissors_6,this is a pair of scissors with blue and gray handles
hammer/hammer_4,the object is a hammer with a black and yellow handle
shampoo/shampoo_1,this is a bottle of body wash and shampoo it is white with a blue top
hammer/hammer_2,a black and yellow hammer
pliers/pliers_2,a blue and red pair of pliers
scissors/scissors_6,this is a hard backed book
can_opener/can_opener_4,contain nutrients that moderate blood sugar levels  may improve digestive health
cell_phone/cell_phone_3,a circular white object with a small round metallic end
food_can/food_can_4,this is a can of goya beans
syringe/syringe_3, plastic
picture_frame/picture_frame_1,this is a small silver picture frame standing on its easel
plate/plate_1,this is a white paper dinner plate with blue flowers on the edges
scissors/scissors_2,a blue pair of scissors
mouse/mouse_3,this is a black computer mouse with the usb cable attached
water_bottle/water_bottle_5,this is an 8 oz bottle of water
hand_towel/hand_towel_2,a gray folded bath towl
hammer/hammer_1,a t shaped object with a yellow and black grip is metallic at the top
syringe/syringe_4,this is a syringe it is clear
pliers/pliers_4,the object is a pair of pliers with black handles
shampoo/shampoo_5,it is a blue and bronze shampoo bottle
pencil/pencil_1,a blue ball point ren
pliers/pliers_4,a pair of small metal clippers
stapler/stapler_4,this is an older grey and black stapler
stapler/stapler_2,this is a black stapler it has rounded edges and looks very smooth
banana/banana_5,a ripe yellow banana
stapler/stapler_1,this is a fushia color stapler it is a color that is being used a lot these days and would be perfect for a womans home office
screwdriver/screwdriver_5,it is a small red and black screwdriver
plate/plate_3,a red ceramic glazed pie plate
banana/banana_1,the object is a yellow ripe banana
hammer/hammer_2,the item is a yellow and black chisel
pencil/pencil_1,the item is a grey mechanical pencil
toothbrush/toothbrush_4,a blue packaged purple and white toothbrush
bell_pepper/bell_pepper_5,a yellow lemopepper
stapler/stapler_4,this is a hand stapler for paper  the handle is gray and black
lime/lime_5,a small green lime
medicine_bottle/medicine_bottle_1, though it is probably usb
water_bottle/water_bottle_2,this is a bottle of water with a blue cap and labelling
food_jar/food_jar_4,this is a jar of pickles from vlasic
allen_wrench/allen_wrench_2,object is a metal tool used to screw in nails and put together furniture
allen_wrench/allen_wrench_3,a large black l wrench
sponge/sponge_1,a black and white sponge
syringe/syringe_1,a small syringe
hammer/hammer_1,this object is a tissue box it has a tissue coming our of the top and flowers for the box design
water_bottle/water_bottle_1,this is a blue water bottle thermos with a gray spout it has a white logo across the bottom
water_bottle/water_bottle_1,this is a blue
picture_frame/picture_frame_3,a small picture frame
spoon/spoon_4,a utensil that is used for liquid like foods
food_jar/food_jar_5,a glass jar of olives
apple/apple_1,this is an apple you can eat it
marker/marker_2,it is a black expo marker
allen_wrench/allen_wrench_1,these are a set of allen wrenches in various sizes
can_opener/can_opener_5,it is a sharp and pointy metal device with many edges
shampoo/shampoo_2,a red and white bottle of soap
picture_frame/picture_frame_5,a empty black standing picture frame
notebook/notebook_2,a black book with elastic closure
allen_wrench/allen_wrench_2,a small allen wrench
stapler/stapler_5,a small purple stapler
measuring_tape/measuring_tape_3,on the turntable is a metal can opener with a black plastic handle and lever
onion/onion_4,this is a white onion that has the skin unpeeled on the outside
banana/banana_4,may improve digestive health
screwdriver/screwdriver_5,a small red and black screwdriver
food_can/food_can_2,it is a can of food specifically
lightbulb/lightbulb_4,it is a white incandescent lightbulb
scissors/scissors_1,use for cutting purpose
soda_bottle/soda_bottle_2,a plastic of soda
apple/apple_1,this is a whole
food_can/food_can_4,a can full of beans
cell_phone/cell_phone_3,this is a relatively small black smart phone
picture_frame/picture_frame_2,a small multi picture frame
eye_glasses/eye_glasses_1,a pair of readers also known as eye glasses
lime/lime_1,this is a lime
spoon/spoon_2,this is a kitchen utensil called fork
shampoo/shampoo_3,this is a dark blue bottle of body wash
stapler/stapler_1,this is a stapler it has a pink body
eye_glasses/eye_glasses_1,a pair of glasses
water_bottle/water_bottle_1,a blue therm water holder
can_opener/can_opener_4,this is a mug  it is a good way to hold a liquid either hot or cold to drink
stapler/stapler_2,it is a black stapler
mouse/mouse_3,the object is a black
food_jar/food_jar_4, that is clear and has blue labeling
pencil/pencil_5,object is a yellow pencil with a plastic or metal case and a thin replaceable lead that may be extended as the point is worn away by twisting the outer casing
hand_towel/hand_towel_2, with silver rims
bell_pepper/bell_pepper_5,a yellow peper with a sticker on it
apple/apple_5,a red and orange apple with no blemishes
bell_pepper/bell_pepper_2,a red sweet pepper
medicine_bottle/medicine_bottle_4,the object is a small bottle
scissors/scissors_3,this is a pair of scissors to cut things
marker/marker_6,it is a red permanent marker
hammer/hammer_2,this is a tool with a long yellow plastic handle with black accents the head is oblong and made of metal
pliers/pliers_1,this is a set of pliers the handles on it are pink
syringe/syringe_4,a medicine that is in the form of a syringe
mouse/mouse_1,a black wired mouse with a usb cable attachment
marker/marker_6,need energy to enable growth and repair of tissues
shampoo/shampoo_5,here is a bottle of shampoo it is blue with a gold cap
pliers/pliers_3,there is a tool that is perhaps some type of pliers that have a red and blue grip
band_aid/band_aid_2,this is a box of assorted bandaids
apple/apple_4,it is a small
water_bottle/water_bottle_1,it is a blue contigo water bottle
pliers/pliers_1,a pair of metal pliers with a pink handle
scissors/scissors_1,this is a pair of black handled scissors
hammer/hammer_3,it is a black and pink hammer with silver accents
allen_wrench/allen_wrench_1,a set of hex wrenches
toothpaste/toothpaste_4,remove food debris and plaque from our teeth 
book/book_2,to keep a food in long time with lid
allen_wrench/allen_wrench_5,this is a set of allen wrenches  the plastic holder for the wrenches is yellow
toothbrush/toothbrush_1,this is a toothbrush that is yellow and white
toothpaste/toothpaste_3,the object is a tube of toothpaste
lime/lime_5,it is a lime
scissors/scissors_5,there are medical scissors they are silver and the cutters are smaller than the handle
potato/potato_1,a medium sized russet potato
banana/banana_4,this is a banana it is yellow with some brown discoloration
food_can/food_can_1,metal cyclinder with yellow label the holder of food
presciption_medicine_bottle/presciption_medicine_bottle_1,this pill bottle is orange it contains pills and has a white cap and label on the side
shampoo/shampoo_4,a transparent light green bottle of soap
plate/plate_3,a red glass plate
presciption_medicine_bottle/presciption_medicine_bottle_2,the object is a prescription medication bottle
potato/potato_4,a brown potato
soda_bottle/soda_bottle_2,object 1 is a bottle of coca cola soda it has the name ashley on the label
band_aid/band_aid_5,this is a box of band aids band aids are used to cover up a cut or other injury on the skin
measuring_tape/measuring_tape_2,this is a silver tape measure with black sticker
plate/plate_1,a white paper plate with blue flowers
picture_frame/picture_frame_4,a picture frame for two vertical pictures
marker/marker_2,the object is a black marker
picture_frame/picture_frame_2,this is a picture of three picture frames they are all connected
toothpaste/toothpaste_1,this is a pack of arm  hammer wrap it is not clear from the box whether it is plastic wrap
potato/potato_3,it is a red potato
scissors/scissors_3,it is a weird shaped cutter that can cut basic things
water_bottle/water_bottle_2,a large container with water in it used for drinking
picture_frame/picture_frame_3,it is the back of a black picture frame
onion/onion_4,help reduce high blood pressure and protect against blood clots
plate/plate_3,a red ceramic bowl
can_opener/can_opener_4,this is a jar of pasta sauce it is red with a yellow label
lightbulb/lightbulb_4,this is a light bulb
coffee_mug/coffee_mug_5,a white coffee mug with a colored rim
allen_wrench/allen_wrench_2,it is a silver allen wrench
fork/fork_5,a white plastic fork
spoon/spoon_3,this is a silver spoon
spoon/spoon_2,this is a silver spoon it has a tiny bowl at the end of it
hand_towel/hand_towel_3,it is a red
onion/onion_4,a vegetable that grows from the soil
toothpaste/toothpaste_5,this is a plastic tube of oragel for kids  it helps with toothache
band_aid/band_aid_5,the object is a blue box of bandaids
shampoo/shampoo_3,this is a plastic blue bottle
notebook/notebook_2,it is a black bound book with blank pages
pencil/pencil_1,this is a fresh
can_opener/can_opener_1,a multi use can opener it is white with green highlights
lemon/lemon_4,this is a lemon
measuring_tape/measuring_tape_5,this is a tape measure
scissors/scissors_4,this is a white mug with gold trim around the rim
plate/plate_1,a paper plate with blue flower design
pencil/pencil_2,use for writing purpose
bowl/bowl_1,this is a green mixing bowl 
pliers/pliers_3,pliers with a red and blue  handle
lime/lime_2,this is a black wired mouse for a computer
mouse/mouse_1,object is a tool with a rubber handle attached to a starshaped tip that fits into the head of a screw to turn it
potato/potato_2,this is a brown potato
bell_pepper/bell_pepper_5,it is a yellow bell pepper
bowl/bowl_4,this is a small blue ceramic bowl
scissors/scissors_3,this is a pair of black scissors
bowl/bowl_5,it is a rectangular white bowl with red accents
shampoo/shampoo_1,this is a white and blue plastic bottle of head and shoulders shampoo
pliers/pliers_5, perfect for eating cereal out of
pliers/pliers_4,a largefat sharpie marker
scissors/scissors_3,it is a pair of black scissors
coffee_mug/coffee_mug_1,this is a red coffee cup
stapler/stapler_5,na
bowl/bowl_5,serve a food
lightbulb/lightbulb_4,this is a lightbulb that is made of metal
book/book_1,the object is a book by the title the book is nonfiction
lightbulb/lightbulb_4,a lightbulb
scissors/scissors_3,this is a pair of scissors
food_jar/food_jar_3,this is a jar of classico pasta sauce
lime/lime_5,this is a lime
marker/marker_4,this is a double a battery
eye_glasses/eye_glasses_3,there is a pair of reading glasses that has frames with a blue nose piece
notebook/notebook_1,this is a red covered spiral bound notebook of lined paper
banana/banana_3,the object is a banana
pliers/pliers_1,a pair of pliers with pink handles
book/book_1,it is a single red apple
hand_towel/hand_towel_3,this is a white kitchen towel with red  yellow designs on it
coffee_mug/coffee_mug_3,the object is a white cup with a handle
can_opener/can_opener_5,this is a silver manual can opener
medicine_bottle/medicine_bottle_3,on the table is a small white pill bottle on the left side is a smaller red label
presciption_medicine_bottle/presciption_medicine_bottle_3,a medicine bottle with a white top
scissors/scissors_2,blue handled tool used by humans in order to cut various objects
measuring_tape/measuring_tape_5,a hand held metal and yellow measuring tape
potato/potato_4,a ripe banana
food_jar/food_jar_3,this is spaghetti sauce
toothpaste/toothpaste_3,a squeezed regular sized tube of toothpaste the name is hard to read
gauze/gauze_1,na
fork/fork_2,a sliver four tong fork
lightbulb/lightbulb_4,white yellow and blue
water_bottle/water_bottle_5,the object is a closed bottle of water
stapler/stapler_1,this is a pink stapler
marker/marker_5,this is a syringe and is used to put medicine or drugs into the body
band_aid/band_aid_3,this is a box of bandages
marker/marker_6,it is a red sharpie
shampoo/shampoo_3,this is a bottle of body wash or shampoo or onditioner
stapler/stapler_5,it is a small purple stapler
food_can/food_can_3,this is a can of chick peas
hand_towel/hand_towel_3,this is called a ttowel or kitchen towel  it is used for drying dishes or drying hands in the kitchen  it can also be used for quick clean ups
syringe/syringe_5,a medical syringe with a needle attached
allen_wrench/allen_wrench_2,an allen key
toothbrush/toothbrush_4,a stick like object used to brush teeth
pencil/pencil_1,this is a mechanical pencil
bell_pepper/bell_pepper_2,that is a bright red pepper
bell_pepper/bell_pepper_3,a large green bell pepper
apple/apple_3,this is a red apple
plate/plate_3,the object is a large red plate
banana/banana_3,a yellow bananna with a sticker
allen_wrench/allen_wrench_4,this is a tool which tightens objects
pliers/pliers_5,the object is a pair of pliers with black handles
plate/plate_5,a white paper plate
onion/onion_5,help reduce high blood pressure
mouse/mouse_1, uncleaned
spoon/spoon_5, andor prevent infection
apple/apple_1,this is a small
marker/marker_5,a black sharpie marker the body is grey plastic with a black cap
lemon/lemon_1,here is a lemon it is yellow and round
screwdriver/screwdriver_2,a large blue handled screwdriver
book/book_1,the object is a blue and yellow book
picture_frame/picture_frame_4,it is a black twosided picture frame
flashlight/flashlight_3,na
plate/plate_1,this is a paper plate it is white with a blue design
lime/lime_4,this is a lime
banana/banana_1,a long curved shape yellow banana
book/book_5,to write personal information
coffee_mug/coffee_mug_1,it is a red mug with a beige interior
pencil/pencil_5,a yellow mechanical pencil
lightbulb/lightbulb_4,a regular lightbulb lying on its side
lightbulb/lightbulb_2,a white lightbulb that supposedly doesnt need to be replaced for a long time its probably a led bulb
can_opener/can_opener_3,it is a light blue and silver can opener
apple/apple_2,this is a lime which can be used for cooking
food_jar/food_jar_4,it is a blue glass jar of pickles
scissors/scissors_1, just the right size to snack on
lime/lime_4,it is a lime
hammer/hammer_1, it makes your eyes water
can_opener/can_opener_3,this is a manual can opener with blue handles
fork/fork_2,this is a silver fork
apple/apple_4,it is a red apple with a sticker
potato/potato_4,an unpeeled russet potato
picture_frame/picture_frame_2,these are three picture frames connected together it is black
can_opener/can_opener_4,there is a clear glass jar full of red tomato sauce and a red and yellow label on the front
spoon/spoon_2, and i would think handles that are soft rubberized
pliers/pliers_5,a pair of pliers with black handles
sponge/sponge_1,a white and black sponge
stapler/stapler_5, gray towel
bowl/bowl_4,this is a small medium blue bowl
apple/apple_4,a red apple with label sticker
banana/banana_2,a bunch of six banannas
fork/fork_3,it is a silver fork
cell_phone/cell_phone_1,a thin mobile phone
book/book_4,the object is a mostly white book called ï½ï½ï½algorithmsï½ï½ï½
scissors/scissors_4,the object is a pair of scissors with grey and orange handles
allen_wrench/allen_wrench_1,this is a set of allen keys that are held together in a red sleeve
flashlight/flashlight_2,there is a black flashlight with a spot of red at the butt end of it that has a strap attached to it
toothpaste/toothpaste_5,a red white and blue tube of toothpaste
coffee_mug/coffee_mug_2,the object is a box of completecare toothpaste
food_jar/food_jar_4,the object is a glass jar of vlasic brand pickles
fork/fork_2,its a fork used for eating
water_bottle/water_bottle_3,helps maintain the balance of body fluids
cell_phone/cell_phone_2,a cell phone
book/book_5,a textbook with a light
toothbrush/toothbrush_5,it is a blue and white colgate toothbrush in red packaging
onion/onion_4,this is a bottle of fructis shampoo the bottle is green and transparent and the cap is also green and plastic
lightbulb/lightbulb_2,a cfl light bulb it is white with a silver base
measuring_tape/measuring_tape_3,this is a tape measure with purple and black case
measuring_tape/measuring_tape_5,this is a manual measuring tape
banana/banana_3,a single rip banana
pliers/pliers_5,this is a pair of pliers
