Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
lightbulb,band_aid/band_aid_1 (nan)      lightbulb/lightbulb_4 (nan)      lightbulb/lightbulb_4 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      lightbulb/lightbulb_4 (nan)      band_aid/band_aid_1 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
lightbulb,presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      lightbulb/lightbulb_4 (nan)      band_aid/band_aid_1 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      lightbulb/lightbulb_4 (nan)      lightbulb/lightbulb_4 (nan)      band_aid/band_aid_1 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      lightbulb/lightbulb_4 (nan)      allen_wrench/allen_wrench_5 (nan)      band_aid/band_aid_1 (nan)      shampoo/shampoo_2 (nan)      ,lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,allen_wrench/allen_wrench_5 (nan)      shampoo/shampoo_2 (nan)      plate/plate_1 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      band_aid/band_aid_1 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,lightbulb/lightbulb_4 (nan)      band_aid/band_aid_1 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      allen_wrench/allen_wrench_5 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) ,1.0,2.0,0.0,1.0,0.75,1.0,0.5,0.666666666667
lightbulb,lightbulb/lightbulb_4 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      band_aid/band_aid_1 (nan)      allen_wrench/allen_wrench_5 (nan)      ,lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      band_aid/band_aid_1 (nan)      lightbulb/lightbulb_4 (nan)      allen_wrench/allen_wrench_5 (nan)      ,lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,lightbulb/lightbulb_4 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_1 (nan)      lightbulb/lightbulb_4 (nan)      allen_wrench/allen_wrench_5 (nan)      band_aid/band_aid_1 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - lightbulb,,,,,,,,0.95,1.0,0.9166666666666666,0.9466666666666667
 ,,,,,,,,,,,
