,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.571505419606114,0.7248478074871925,-1.0,-1.0,0.6827783840388006,0.8826657113462669
banana,0.35695105820105827,0.5781320861678004,1.0,1.0,0.5204695767195767,0.7882275132275132
corn,0.4412962962962963,0.6308730158730158,1.0,1.0,0.522361111111111,0.9023809523809523
cube,0.8745568783068782,0.8982312925170067,1.0,1.0,0.9461309523809525,0.8894179894179894
cucumber,0.434318783068783,0.6164493575207861,1.0,1.0,0.49232804232804234,0.9130291005291005
fruit,0.28503968253968254,0.5322267573696146,1.0,1.0,0.4532380952380953,0.7746031746031745
green,0.5461772486772486,0.7014465230536661,0.8333333333333334,1.25,0.6097817460317461,0.9319444444444444
like,0.7873015873015871,0.926984126984127,0.0,1.0,1.0,0.886243386243386
look,0.8178571428571428,0.92,0.375,1.0,1.0,0.8754960317460316
salad,0.503234126984127,0.6734599395313682,0.75,1.0,0.5867526455026455,0.9160714285714285
used,0.8571825396825394,0.9384920634920636,0.25,1.0,1.0,0.9041666666666666
yellow,0.7869708994708995,0.8929572940287226,0.1626984126984127,2.1666666666666665,0.9068253968253969,0.9283730158730158
