,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.5868401124338625,0.7389724190602167,-1.0,-1.0,0.7071882716049382,0.8826954732510287
banana,0.3430687830687831,0.5732993197278912,1.0,1.0,0.5105224867724868,0.8000661375661376
corn,0.44673941798941796,0.6343083900226757,1.0,1.0,0.5246825396825396,0.9081349206349205
cube,0.9043320105820105,0.9263321995464854,1.0,1.0,0.993915343915344,0.8902116402116401
cucumber,0.6028306878306878,0.7346787603930461,1.0,1.0,0.681957671957672,0.906084656084656
fruit,0.2503015873015873,0.5146417233560091,1.0,1.0,0.42972222222222217,0.7769841269841271
green,0.5396957671957672,0.6992904383975813,0.8333333333333334,1.25,0.6103703703703703,0.9249999999999999
like,0.8190476190476189,0.9362433862433863,0.0,1.0,1.0,0.8999999999999998
look,0.8261408730158728,0.9262301587301588,0.375,1.0,1.0,0.8850198412698411
salad,0.4869576719576719,0.6648979591836734,0.75,1.0,0.5824669312169312,0.9076058201058201
used,0.8454166666666667,0.9340476190476193,0.2261904761904762,1.0,1.0,0.8970238095238094
yellow,0.7752777777777778,0.8916052532123961,0.15079365079365079,2.1666666666666665,0.9124603174603174,0.9242063492063493
