Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
apple,eye_glasses/eye_glasses_3 (nan)      pliers/pliers_2 (nan)      apple/apple_5 (nan)      shampoo/shampoo_2 (nan)      fork/fork_5 (nan)      ,apple/apple_5 (nan) ,apple/apple_5 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,apple/apple_5 (nan)      eye_glasses/eye_glasses_3 (nan)      pliers/pliers_2 (nan)      shampoo/shampoo_2 (nan)      fork/fork_5 (nan)      ,apple/apple_5 (nan) ,apple/apple_5 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,apple/apple_5 (nan)      pliers/pliers_2 (nan)      eye_glasses/eye_glasses_3 (nan)      apple/apple_5 (nan)      ,apple/apple_5 (nan) apple/apple_5 (nan) apple/apple_5 (nan) ,apple/apple_5 (nan) apple/apple_5 (nan) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
apple,fork/fork_5 (nan)      shampoo/shampoo_2 (nan)      pliers/pliers_2 (nan)      apple/apple_5 (nan)      eye_glasses/eye_glasses_3 (nan)      ,apple/apple_5 (nan) ,apple/apple_5 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,shampoo/shampoo_2 (nan)      apple/apple_5 (nan)      eye_glasses/eye_glasses_3 (nan)      pliers/pliers_2 (nan)      ,apple/apple_5 (nan) ,shampoo/shampoo_2 (nan) apple/apple_5 (nan) ,1.0,2.0,1.0,0.0,0.75,0.5,1.0,0.666666666667
apple,pliers/pliers_2 (nan)      shampoo/shampoo_2 (nan)      apple/apple_5 (nan)      eye_glasses/eye_glasses_3 (nan)      ,apple/apple_5 (nan) ,apple/apple_5 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,shampoo/shampoo_2 (nan)      fork/fork_5 (nan)      pliers/pliers_2 (nan)      eye_glasses/eye_glasses_3 (nan)      apple/apple_5 (nan)      ,apple/apple_5 (nan) ,shampoo/shampoo_2 (nan) apple/apple_5 (nan) ,1.0,3.0,1.0,0.0,0.8,0.5,1.0,0.666666666667
apple,eye_glasses/eye_glasses_3 (nan)      shampoo/shampoo_2 (nan)      fork/fork_5 (nan)      pliers/pliers_2 (nan)      apple/apple_5 (nan)      ,apple/apple_5 (nan) ,shampoo/shampoo_2 (nan) apple/apple_5 (nan) ,1.0,3.0,1.0,0.0,0.8,0.5,1.0,0.666666666667
apple,eye_glasses/eye_glasses_3 (nan)      apple/apple_5 (nan)      pliers/pliers_2 (nan)      apple/apple_5 (nan)      apple/apple_5 (nan)      ,apple/apple_5 (nan) apple/apple_5 (nan) apple/apple_5 (nan) ,apple/apple_5 (nan) apple/apple_5 (nan) apple/apple_5 (nan) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,apple/apple_5 (nan)      pliers/pliers_2 (nan)      apple/apple_5 (nan)      ,apple/apple_5 (nan) apple/apple_5 (nan) apple/apple_5 (nan) ,apple/apple_5 (nan) apple/apple_5 (nan) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
Total - apple,,,,,,,,0.8766666666666666,0.85,0.9333333333333332,0.86
 ,,,,,,,,,,,
bell,presciption_medicine_bottle/presciption_medicine_bottle_2 (nan)      bell_pepper/bell_pepper_1 (nan)      banana/banana_1 (nan)      pliers/pliers_2 (nan)      ,bell_pepper/bell_pepper_1 (nan) ,bell_pepper/bell_pepper_1 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
bell,shampoo/shampoo_2 (nan)      pliers/pliers_2 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_2 (nan)      banana/banana_1 (nan)      fork/fork_5 (nan)      bell_pepper/bell_pepper_1 (nan)      ,bell_pepper/bell_pepper_1 (nan) ,presciption_medicine_bottle/presciption_medicine_bottle_2 (nan) bell_pepper/bell_pepper_1 (nan) ,1.0,4.0,1.0,0.0,0.833333333333,0.5,1.0,0.666666666667
bell,shampoo/shampoo_2 (nan)      banana/banana_1 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_2 (nan)      pliers/pliers_2 (nan)      bell_pepper/bell_pepper_1 (nan)      fork/fork_5 (nan)      ,bell_pepper/bell_pepper_1 (nan) ,bell_pepper/bell_pepper_1 (nan) presciption_medicine_bottle/presciption_medicine_bottle_2 (nan) ,1.0,4.0,1.0,0.0,0.833333333333,0.5,1.0,0.666666666667
bell,banana/banana_1 (nan)      shampoo/shampoo_2 (nan)      pliers/pliers_2 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_2 (nan)      bell_pepper/bell_pepper_1 (nan)      bell_pepper/bell_pepper_1 (nan)      ,bell_pepper/bell_pepper_1 (nan) bell_pepper/bell_pepper_1 (nan) ,bell_pepper/bell_pepper_1 (nan) presciption_medicine_bottle/presciption_medicine_bottle_2 (nan) bell_pepper/bell_pepper_1 (nan) ,2.0,3.0,1.0,0.0,0.833333333333,0.666666666667,1.0,0.8
