,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.6867968434343434,0.7882927849927852,-1.0,-1.0,0.7737743686868687,0.8949886363636363
banana,0.6553888888888887,0.7579920634920635,1.0,1.0,0.7908888888888889,0.8266666666666667
corn,0.7462222222222223,0.8032222222222222,1.0,1.0,0.7799999999999999,0.9038888888888887
cube,0.8466666666666666,0.8682857142857141,1.0,1.0,0.8827777777777778,0.896111111111111
cucumb,0.47611111111111115,0.6397142857142857,1.0,1.0,0.5305555555555556,0.906111111111111
fruit,0.6713333333333333,0.7363571428571428,1.0,1.0,0.7587499999999999,0.7941666666666667
green,0.6358888888888887,0.7527222222222222,0.6666666666666666,2.0,0.6631111111111111,0.9744444444444442
like,0.7625,0.9194999999999999,0.0,1.0,1.0,0.8758333333333332
look,0.8505555555555554,0.9339999999999999,0.3333333333333333,1.0,1.0,0.8949999999999998
salad,0.5235555555555556,0.6727777777777777,1.0,1.0,0.5968333333333332,0.8983333333333332
use,0.7749999999999998,0.9258333333333333,0.0,1.0,1.0,0.8875
yellow,0.6424166666666666,0.6986309523809523,1.0,2.0,0.5866666666666667,0.9566666666666664
