AUDIO_FILE,RESPONSE
potato_3-3Y3N5A7N4G7B2QYBUKNMWZBHVIHMYO-3JWH6J9I9TBOTKOUMVT4QNY2UWMBN0-AXID3RPK6NZT6-1574814574721.wav,small sweet potato
banana_4-3G5RUKN2EC12J7B3Y9A6AX7QRZ6N90-3ZR9AIQJUC71NPBE6AHJ7XWJCBW40E-A66ZK7SJ1CGBZ-1574815428031.wav,there is a ripe banana with the back of its curve facing me
food_can_3-3ZZAYRN1I6P3L7KTXUF0GM87BG2TO9-3U0SRXB7CE3B9R5JISFUQ236CHRRNT-AJY5G987IRT25-1574802273783.wav,again used for containing food
book_2-3CKVGCS3PG3H3QFV698ZGGG3BUKS05-3IGI0VL648I8CED3Q0YQW7Y11VHNOS-A1YJY8G4QKPV00-1574819945535.wav,a red hardback book
allen_wrench_5-30EMX9PEVKHJGGMZA2IHZ0VCPSQKS3-3ON104KXQLUUVFCZZHA4ES5NDGA4WF-APPNTU0LE3T9L-1574814987445.wav,a set of Allen wrenches
marker_2-3WJGKMRWVI7VVTRTLZ6UGIW4JG7CDO-3HVVDCPGTFQI15MPTJT07X2V4NRTYZ-A2KH641ASLS5P9-1574815106107.wav,this is a marker
allen_wrench_4-3M0556243SIBKH2G1VAYKTT1UX1NFS-3FE2ERCCZY68FZPG6FBI0W3W1AIPOQ-A1ITF1O2NFDPCP-1574819940472.wav,this is a type of tool that is used to tighten objects
bell_pepper_2-3XQ4XW3OD9AOZ0I9LWCDZ49I8S4S2P-3R08VXYT7DTRE2UI1F8BH4PX4I3W7U-APPNTU0LE3T9L-1574817215990.wav,a red bell pepper
screwdriver_4-3YCT0L9OMM7KOM727FAXRSCGJNVNSB-3A1PQ49WVIFV6QKRH052FROXM8XH1P-A3EUFDOUX1GCL-1574819615105.wav,it is a black and yellow screwdriver
allen_wrench_5-30EMX9PEVKHJGGMZA2IHZ0VCPSQKS3-3M23Y66PO35F3LZ4Y0TIE1MG3UUS6J-A1KFLCWGG1RE43-1574819765205.wav,it's a tool
fork_2-3ZXV7Q5FJBMSTD5PC51K4IZPVTNFC2-3P4MQ7TPPYAMSBZXJ5OVZSY8D7GBBJ-A1YJY8G4QKPV00-1574818063623.wav,a silver fork
lime_3-3HJ1EVZS2OH1J3EFA7QDS49ES49R3Z-378XPAWRUDBRW98BJ1GGQ4IFQE9AIO-AJY5G987IRT25-1574802080512.wav,he's a green lime
toothbrush_2-3AA88CN98P1GC2Y898A6HMJD6DMKYH-3GA6AFUKOPMRGTY644JL3K3UKSAH3G-A9E9Y0LEAYO4V-1574819047627.wav,it is a presidio 242 cleaning
potato_2-3O2Y2UIUCQSACBHD4IIIS1CX02WKFK-3VJ40NV2QJL67RINNWK2564TQDUTOQ-A9E9Y0LEAYO4V-1574817008325.wav,it is a potato a vegetable
cell_phone_1-3TRB893CSJ8SVW6OW8ZR6H7NVXWG79-3WOKGM4L72E5RILWPUWSLV2OT20O0C-A1KFLCWGG1RE43-1574817655245.wav,Asus smartphone
