Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
lightbulb,shampoo/shampoo_1 (nan)      lightbulb/lightbulb_4 (nan)      picture_frame/picture_frame_3 (nan)      lightbulb/lightbulb_4 (nan)      cell_phone/cell_phone_3 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,shampoo/shampoo_1 (nan)      lightbulb/lightbulb_4 (nan)      lightbulb/lightbulb_4 (nan)      picture_frame/picture_frame_3 (nan)      cell_phone/cell_phone_3 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,lightbulb/lightbulb_4 (nan)      lightbulb/lightbulb_4 (nan)      picture_frame/picture_frame_3 (nan)      shampoo/shampoo_1 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
lightbulb,shampoo/shampoo_1 (nan)      lightbulb/lightbulb_4 (nan)      picture_frame/picture_frame_3 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,shampoo/shampoo_1 (nan)      lightbulb/lightbulb_4 (nan)      picture_frame/picture_frame_3 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,picture_frame/picture_frame_3 (nan)      fork/fork_3 (nan)      shampoo/shampoo_1 (nan)      cell_phone/cell_phone_3 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
lightbulb,picture_frame/picture_frame_3 (nan)      shampoo/shampoo_1 (nan)      lightbulb/lightbulb_4 (nan)      cell_phone/cell_phone_3 (nan)      ,lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,shampoo/shampoo_1 (nan)      picture_frame/picture_frame_3 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
lightbulb,picture_frame/picture_frame_3 (nan)      lightbulb/lightbulb_4 (nan)      cell_phone/cell_phone_3 (nan)      shampoo/shampoo_1 (nan)      lightbulb/lightbulb_4 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
lightbulb,lightbulb/lightbulb_4 (nan)      shampoo/shampoo_1 (nan)      fork/fork_3 (nan)      cell_phone/cell_phone_3 (nan)      lightbulb/lightbulb_4 (nan)      picture_frame/picture_frame_3 (nan)      ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,lightbulb/lightbulb_4 (nan) lightbulb/lightbulb_4 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - lightbulb,,,,,,,,0.8883333333333333,1.0,0.85,0.8966666666666667
 ,,,,,,,,,,,
measuring,food_jar/food_jar_2 (nan)      measuring_tape/measuring_tape_1 (nan)      allen_wrench/allen_wrench_5 (nan)      soda_bottle/soda_bottle_4 (nan)      ,measuring_tape/measuring_tape_1 (nan) ,measuring_tape/measuring_tape_1 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
measuring,syringe/syringe_1 (nan)      cell_phone/cell_phone_3 (nan)      measuring_tape/measuring_tape_1 (nan)      allen_wrench/allen_wrench_5 (nan)      soda_bottle/soda_bottle_4 (nan)      food_jar/food_jar_2 (nan)      ,measuring_tape/measuring_tape_1 (nan) ,measuring_tape/measuring_tape_1 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
measuring,measuring_tape/measuring_tape_1 (nan)      allen_wrench/allen_wrench_5 (nan)      measuring_tape/measuring_tape_1 (nan)      ,measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) ,measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
measuring,allen_wrench/allen_wrench_5 (nan)      measuring_tape/measuring_tape_1 (nan)      measuring_tape/measuring_tape_1 (nan)      soda_bottle/soda_bottle_4 (nan)      ,measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) ,measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
measuring,allen_wrench/allen_wrench_5 (nan)      cell_phone/cell_phone_3 (nan)      measuring_tape/measuring_tape_1 (nan)      food_jar/food_jar_2 (nan)      soda_bottle/soda_bottle_4 (nan)      syringe/syringe_1 (nan)      ,measuring_tape/measuring_tape_1 (nan) ,measuring_tape/measuring_tape_1 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
measuring,cell_phone/cell_phone_3 (nan)      food_jar/food_jar_2 (nan)      soda_bottle/soda_bottle_4 (nan)      measuring_tape/measuring_tape_1 (nan)      allen_wrench/allen_wrench_5 (nan)      ,measuring_tape/measuring_tape_1 (nan) ,cell_phone/cell_phone_3 (nan) measuring_tape/measuring_tape_1 (nan) ,1.0,3.0,1.0,0.0,0.8,0.5,1.0,0.666666666667
measuring,allen_wrench/allen_wrench_5 (nan)      measuring_tape/measuring_tape_1 (nan)      measuring_tape/measuring_tape_1 (nan)      ,measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) ,measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
measuring,syringe/syringe_1 (nan)      soda_bottle/soda_bottle_4 (nan)      cell_phone/cell_phone_3 (nan)      allen_wrench/allen_wrench_5 (nan)      measuring_tape/measuring_tape_1 (nan)      food_jar/food_jar_2 (nan)      ,measuring_tape/measuring_tape_1 (nan) ,measuring_tape/measuring_tape_1 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
measuring,soda_bottle/soda_bottle_4 (nan)      allen_wrench/allen_wrench_5 (nan)      measuring_tape/measuring_tape_1 (nan)      measuring_tape/measuring_tape_1 (nan)      measuring_tape/measuring_tape_1 (nan)      ,measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) ,measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
measuring,soda_bottle/soda_bottle_4 (nan)      measuring_tape/measuring_tape_1 (nan)      cell_phone/cell_phone_3 (nan)      allen_wrench/allen_wrench_5 (nan)      food_jar/food_jar_2 (nan)      measuring_tape/measuring_tape_1 (nan)      ,measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) ,allen_wrench/allen_wrench_5 (nan) measuring_tape/measuring_tape_1 (nan) measuring_tape/measuring_tape_1 (nan) ,2.0,3.0,1.0,0.0,0.833333333333,0.666666666667,1.0,0.8
Total - measuring,,,,,,,,0.8716666666666667,0.9166666666666666,0.9,0.8866666666666667
 ,,,,,,,,,,,
apple,apple/apple_3 (nan)      picture_frame/picture_frame_3 (nan)      allen_wrench/allen_wrench_5 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
apple,apple/apple_3 (nan)      allen_wrench/allen_wrench_5 (nan)      picture_frame/picture_frame_3 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
apple,cell_phone/cell_phone_3 (nan)      mouse/mouse_2 (nan)      allen_wrench/allen_wrench_5 (nan)      apple/apple_3 (nan)      measuring_tape/measuring_tape_1 (nan)      picture_frame/picture_frame_3 (nan)      ,apple/apple_3 (nan) ,apple/apple_3 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,apple/apple_3 (nan)      allen_wrench/allen_wrench_5 (nan)      measuring_tape/measuring_tape_1 (nan)      apple/apple_3 (nan)      mouse/mouse_2 (nan)      picture_frame/picture_frame_3 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) measuring_tape/measuring_tape_1 (nan) apple/apple_3 (nan) ,2.0,3.0,1.0,0.0,0.833333333333,0.666666666667,1.0,0.8
apple,measuring_tape/measuring_tape_1 (nan)      apple/apple_3 (nan)      apple/apple_3 (nan)      allen_wrench/allen_wrench_5 (nan)      picture_frame/picture_frame_3 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) apple/apple_3 (nan) allen_wrench/allen_wrench_5 (nan) ,2.0,1.0,1.0,1.0,0.6,0.666666666667,0.666666666667,0.666666666667
apple,allen_wrench/allen_wrench_5 (nan)      picture_frame/picture_frame_3 (nan)      apple/apple_3 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
apple,picture_frame/picture_frame_3 (nan)      apple/apple_3 (nan)      apple/apple_3 (nan)      allen_wrench/allen_wrench_5 (nan)      mouse/mouse_2 (nan)      measuring_tape/measuring_tape_1 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) apple/apple_3 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
apple,apple/apple_3 (nan)      picture_frame/picture_frame_3 (nan)      apple/apple_3 (nan)      allen_wrench/allen_wrench_5 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) apple/apple_3 (nan) allen_wrench/allen_wrench_5 (nan) ,2.0,1.0,1.0,0.0,0.75,0.666666666667,1.0,0.8
apple,measuring_tape/measuring_tape_1 (nan)      allen_wrench/allen_wrench_5 (nan)      apple/apple_3 (nan)      apple/apple_3 (nan)      picture_frame/picture_frame_3 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) apple/apple_3 (nan) allen_wrench/allen_wrench_5 (nan) ,2.0,2.0,1.0,0.0,0.8,0.666666666667,1.0,0.8
apple,apple/apple_3 (nan)      picture_frame/picture_frame_3 (nan)      allen_wrench/allen_wrench_5 (nan)      apple/apple_3 (nan)      ,apple/apple_3 (nan) apple/apple_3 (nan) apple/apple_3 (nan) ,apple/apple_3 (nan) apple/apple_3 (nan) allen_wrench/allen_wrench_5 (nan) ,2.0,0.0,1.0,1.0,0.5,0.666666666667,0.666666666667,0.666666666667
Total - apple,,,,,,,,0.7483333333333333,0.8333333333333334,0.7833333333333333,0.7733333333333333
 ,,,,,,,,,,,
