Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
apple,apple/apple_4 (nan)      apple/apple_4 (nan)      allen_wrench/allen_wrench_5 (nan)      ,apple/apple_4 (nan) apple/apple_4 (nan) apple/apple_4 (nan) ,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
apple,onion/onion_4 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      food_jar/food_jar_3 (nan)      apple/apple_4 (nan)      allen_wrench/allen_wrench_5 (nan)      soda_bottle/soda_bottle_5 (nan)      ,apple/apple_4 (nan) ,,0.0,5.0,0.0,1.0,0.833333333333,0.0,0.0,0.0
apple,allen_wrench/allen_wrench_5 (nan)      apple/apple_4 (nan)      apple/apple_4 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      onion/onion_4 (nan)      ,apple/apple_4 (nan) apple/apple_4 (nan) ,,0.0,3.0,0.0,2.0,0.6,0.0,0.0,0.0
apple,allen_wrench/allen_wrench_5 (nan)      onion/onion_4 (nan)      apple/apple_4 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      apple/apple_4 (nan)      ,apple/apple_4 (nan) apple/apple_4 (nan) ,,0.0,3.0,0.0,2.0,0.6,0.0,0.0,0.0
apple,presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      apple/apple_4 (nan)      allen_wrench/allen_wrench_5 (nan)      ,apple/apple_4 (nan) apple/apple_4 (nan) apple/apple_4 (nan) ,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
apple,soda_bottle/soda_bottle_5 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      onion/onion_4 (nan)      allen_wrench/allen_wrench_5 (nan)      apple/apple_4 (nan)      ,apple/apple_4 (nan) ,,0.0,4.0,0.0,1.0,0.8,0.0,0.0,0.0
apple,apple/apple_4 (nan)      apple/apple_4 (nan)      onion/onion_4 (nan)      allen_wrench/allen_wrench_5 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      ,apple/apple_4 (nan) apple/apple_4 (nan) ,,0.0,3.0,0.0,2.0,0.6,0.0,0.0,0.0
apple,allen_wrench/allen_wrench_5 (nan)      apple/apple_4 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      apple/apple_4 (nan)      ,apple/apple_4 (nan) apple/apple_4 (nan) ,,0.0,2.0,0.0,2.0,0.5,0.0,0.0,0.0
apple,onion/onion_4 (nan)      allen_wrench/allen_wrench_5 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      apple/apple_4 (nan)      ,apple/apple_4 (nan) ,,0.0,3.0,0.0,1.0,0.75,0.0,0.0,0.0
apple,apple/apple_4 (nan)      allen_wrench/allen_wrench_5 (nan)      apple/apple_4 (nan)      apple/apple_4 (nan)      ,apple/apple_4 (nan) apple/apple_4 (nan) apple/apple_4 (nan) ,,0.0,1.0,0.0,3.0,0.25,0.0,0.0,0.0
Total - apple,,,,,,,,0.49333333333333335,0.0,0.0,0.0
 ,,,,,,,,,,,
bell,presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      soda_bottle/soda_bottle_5 (nan)      bell_pepper/bell_pepper_4 (nan)      onion/onion_4 (nan)      allen_wrench/allen_wrench_5 (nan)      bell_pepper/bell_pepper_4 (nan)      ,bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) ,bell_pepper/bell_pepper_4 (nan) ,1.0,4.0,0.0,1.0,0.833333333333,1.0,0.5,0.666666666667
bell,bell_pepper/bell_pepper_4 (nan)      bell_pepper/bell_pepper_4 (nan)      onion/onion_4 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      bell_pepper/bell_pepper_4 (nan)      allen_wrench/allen_wrench_5 (nan)      ,bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) ,bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) ,2.0,3.0,0.0,1.0,0.833333333333,1.0,0.666666666667,0.8
bell,presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      bell_pepper/bell_pepper_4 (nan)      allen_wrench/allen_wrench_5 (nan)      bell_pepper/bell_pepper_4 (nan)      ,bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) ,bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
bell,bell_pepper/bell_pepper_4 (nan)      bell_pepper/bell_pepper_4 (nan)      onion/onion_4 (nan)      allen_wrench/allen_wrench_5 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      ,bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) ,bell_pepper/bell_pepper_4 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
bell,bell_pepper/bell_pepper_4 (nan)      allen_wrench/allen_wrench_5 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      ,bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) ,bell_pepper/bell_pepper_4 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
bell,bell_pepper/bell_pepper_4 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      allen_wrench/allen_wrench_5 (nan)      bell_pepper/bell_pepper_4 (nan)      ,bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) ,bell_pepper/bell_pepper_4 (nan) ,1.0,1.0,0.0,2.0,0.5,1.0,0.333333333333,0.5
bell,bell_pepper/bell_pepper_4 (nan)      bell_pepper/bell_pepper_4 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      allen_wrench/allen_wrench_5 (nan)      onion/onion_4 (nan)      ,bell_pepper/bell_pepper_4 (nan) bell_pepper/bell_pepper_4 (nan) ,bell_pepper/bell_pepper_4 (nan) ,1.0,3.0,0.0,1.0,0.8,1.0,0.5,0.666666666667
