,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.6303222222222221,0.7549666666666667,-1.0,-1.0,0.7131944444444442,0.9022638888888889
banana,0.5149444444444443,0.6589365079365079,1.0,1.0,0.6155555555555555,0.8288888888888887
corn,0.595111111111111,0.7342936507936508,1.0,1.0,0.6703333333333333,0.9094444444444443
cube,0.9113888888888888,0.9369999999999999,1.0,1.0,1.0,0.9027777777777779
cucumber,0.47477777777777774,0.6393412698412699,1.0,1.0,0.517888888888889,0.9172222222222222
fruit,0.26316666666666666,0.5011190476190477,1.0,1.0,0.4101666666666667,0.7775000000000001
green,0.3688333333333334,0.5589047619047619,1.0,1.6666666666666667,0.42016666666666663,0.9344444444444444
like,0.9266666666666669,0.9723333333333335,0.0,1.6666666666666667,1.0,0.955
looks,0.8175000000000001,0.9338333333333335,0.0,1.0,1.0,0.8949999999999999
used,0.36816666666666664,0.6037619047619047,1.0,1.0,0.48983333333333334,0.8549999999999999
yellow,0.7763333333333333,0.8579761904761904,0.3333333333333333,1.6666666666666667,0.8272222222222223,0.9511111111111109
