Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
bowl,picture_frame/picture_frame_4 (nan)      bowl/bowl_1 (nan)      cell_phone/cell_phone_2 (nan)      bell_pepper/bell_pepper_2 (nan)      food_jar/food_jar_3 (nan)      pliers/pliers_2 (nan)      ,bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,food_jar/food_jar_3 (nan)      picture_frame/picture_frame_4 (nan)      pliers/pliers_2 (nan)      bowl/bowl_1 (nan)      cell_phone/cell_phone_2 (nan)      ,bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,picture_frame/picture_frame_4 (nan)      bowl/bowl_1 (nan)      pliers/pliers_2 (nan)      food_jar/food_jar_3 (nan)      bell_pepper/bell_pepper_2 (nan)      cell_phone/cell_phone_2 (nan)      ,bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,picture_frame/picture_frame_4 (nan)      bowl/bowl_1 (nan)      bowl/bowl_1 (nan)      bowl/bowl_1 (nan)      ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,bell_pepper/bell_pepper_2 (nan)      bowl/bowl_1 (nan)      pliers/pliers_2 (nan)      cell_phone/cell_phone_2 (nan)      picture_frame/picture_frame_4 (nan)      food_jar/food_jar_3 (nan)      ,bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) ,1.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,picture_frame/picture_frame_4 (nan)      food_jar/food_jar_3 (nan)      pliers/pliers_2 (nan)      bowl/bowl_1 (nan)      bowl/bowl_1 (nan)      ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,picture_frame/picture_frame_4 (nan) bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,2.0,1.0,1.0,1.0,0.6,0.666666666667,0.666666666667,0.666666666667
bowl,cell_phone/cell_phone_2 (nan)      picture_frame/picture_frame_4 (nan)      pliers/pliers_2 (nan)      bowl/bowl_1 (nan)      food_jar/food_jar_3 (nan)      ,bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
bowl,bowl/bowl_1 (nan)      bowl/bowl_1 (nan)      picture_frame/picture_frame_4 (nan)      ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,bowl/bowl_1 (nan) bowl/bowl_1 (nan) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
bowl,picture_frame/picture_frame_4 (nan)      pliers/pliers_2 (nan)      bowl/bowl_1 (nan)      cell_phone/cell_phone_2 (nan)      food_jar/food_jar_3 (nan)      ,bowl/bowl_1 (nan) ,picture_frame/picture_frame_4 (nan) bowl/bowl_1 (nan) ,1.0,3.0,1.0,0.0,0.8,0.5,1.0,0.666666666667
