,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.6857330808080808,0.7931101731601734,-1.0,-1.0,0.7862324494949495,0.898439393939394
banana,0.7039444444444444,0.7827777777777779,1.0,1.0,0.8305000000000001,0.836111111111111
corn,0.5121666666666667,0.6624206349206349,1.0,1.0,0.6018888888888888,0.8894444444444445
cube,0.9022777777777776,0.9204444444444444,1.0,1.0,0.9686111111111111,0.9033333333333332
cucumb,0.5318333333333334,0.6809761904761905,1.0,1.0,0.6334444444444444,0.8816666666666666
fruit,0.7288333333333334,0.7950952380952382,1.0,1.0,0.85,0.8099999999999998
green,0.7768888888888891,0.8504444444444447,0.6666666666666666,2.0,0.8045000000000002,0.9744444444444443
like,0.8400000000000001,0.9448333333333334,0.0,1.0,1.0,0.9141666666666666
look,0.8552777777777777,0.936,0.3333333333333333,1.0,1.0,0.8994444444444444
salad,0.49633333333333335,0.6602301587301588,1.0,1.0,0.5703888888888888,0.9188888888888888
use,0.8150000000000001,0.9361666666666666,0.0,1.0,1.0,0.9008333333333332
yellow,0.41174999999999995,0.5996666666666666,1.0,2.0,0.4711666666666666,0.9299999999999999
