,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.7183684781011169,0.8141039960737382,-1.0,-1.0,0.8234285346854792,0.8834446649029981
banana,0.6830555555555555,0.7683645124716554,1.0,1.0,0.8368915343915343,0.7937169312169312
corn,0.7397354497354496,0.8064654195011338,1.0,1.0,0.7732804232804233,0.9087301587301587
cube,0.8767063492063492,0.8990551776266063,1.0,1.0,0.9463624338624338,0.8909391534391534
cucumber,0.6083002645502645,0.7313142479213908,1.0,1.0,0.6583796296296295,0.9203042328042328
fruit,0.6477460317460317,0.7424331065759637,1.0,1.0,0.8130396825396826,0.7743650793650791
green,0.4965806878306878,0.667392290249433,0.8333333333333334,1.25,0.5638425925925925,0.9280423280423281
like,0.8246031746031746,0.9369312169312168,0.0,1.0,1.0,0.9002645502645502
look,0.8299107142857144,0.9267658730158731,0.375,1.0,1.0,0.8861111111111112
salad,0.8054431216931216,0.8721334089191233,0.75,1.0,0.8924074074074074,0.9099206349206349
used,0.710079365079365,0.8497165532879818,0.2261904761904762,1.0,0.8734126984126983,0.8938492063492063
yellow,0.8319907407407409,0.9252938397581254,0.15873015873015872,2.1666666666666665,0.9633862433862435,0.9216269841269841
