,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.7151774691358026,0.7824166666666666,-1.0,-1.0,0.747989197530864,0.9064583333333333
banana,0.8584444444444443,0.8872698412698412,1.0,1.0,0.956111111111111,0.8605555555555553
block,0.7657777777777778,0.813531746031746,1.0,1.0,0.7953333333333333,0.8961111111111111
corn,0.7034999999999999,0.7726904761904761,1.0,1.0,0.7373333333333333,0.9066666666666667
cube,0.7555,0.8122777777777778,1.0,1.0,0.7939444444444445,0.896111111111111
cucumb,0.556111111111111,0.6758412698412699,1.0,1.0,0.5856111111111111,0.9027777777777776
ear,0.7128888888888887,0.7821190476190476,1.0,1.0,0.7425555555555554,0.9088888888888887
green,0.5751666666666667,0.697015873015873,1.0,2.0,0.592,0.9522222222222222
squar,0.7641666666666665,0.8139880952380952,1.0,1.0,0.7950833333333333,0.9099999999999999
yellow,0.7459999999999999,0.7800119047619047,1.0,1.5,0.7106666666666667,0.9324999999999999
