,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.678876388888889,0.7895271825396826,-1.0,-1.0,0.7735736111111111,0.9014583333333335
banana,0.264,0.515468253968254,1.0,1.0,0.4057222222222222,0.8177777777777777
corn,0.7702222222222221,0.8426666666666667,1.0,1.0,0.8385,0.9172222222222223
cube,0.9233888888888888,0.942888888888889,1.0,1.0,1.0,0.9088888888888889
cucumber,0.7245555555555556,0.8120158730158731,1.0,1.0,0.8048333333333333,0.8999999999999999
fruit,0.5233333333333333,0.6770952380952381,1.0,1.0,0.6905833333333333,0.8016666666666667
green,0.355388888888889,0.5478015873015872,1.0,1.6666666666666667,0.4125555555555555,0.9227777777777778
like,0.92,0.9717777777777777,0.0,1.6666666666666667,1.0,0.9555555555555556
looks,0.785,0.9250000000000002,0.0,1.0,1.0,0.8825
used,0.9166666666666666,0.9373333333333334,1.0,1.0,1.0,0.9033333333333333
yellow,0.7580555555555554,0.8426587301587303,0.3333333333333333,1.6666666666666667,0.8130000000000001,0.9499999999999998
