Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
ceram,pliers/pliers_1 (nan)      plate/plate_4 (nan)      bowl/bowl_3 (nan)      screwdriver/screwdriver_2 (nan)      band_aid/band_aid_1 (nan)      mouse/mouse_3 (nan)      ,bowl/bowl_3 (nan) plate/plate_4 (nan) ,plate/plate_4 (nan) bowl/bowl_3 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
ceram,plate/plate_4 (nan)      bowl/bowl_3 (nan)      screwdriver/screwdriver_2 (nan)      band_aid/band_aid_1 (nan)      ,bowl/bowl_3 (nan) plate/plate_4 (nan) bowl/bowl_3 (nan) ,plate/plate_4 (nan) bowl/bowl_3 (nan) ,2.0,1.0,0.0,1.0,0.75,1.0,0.666666666667,0.8
ceram,plate/plate_4 (nan)      screwdriver/screwdriver_2 (nan)      bowl/bowl_3 (nan)      band_aid/band_aid_1 (nan)      ,bowl/bowl_3 (nan) plate/plate_4 (nan) ,plate/plate_4 (nan) bowl/bowl_3 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
ceram,plate/plate_4 (nan)      bowl/bowl_3 (nan)      band_aid/band_aid_1 (nan)      screwdriver/screwdriver_2 (nan)      ,bowl/bowl_3 (nan) plate/plate_4 (nan) ,plate/plate_4 (nan) bowl/bowl_3 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
ceram,plate/plate_4 (nan)      bowl/bowl_3 (nan)      mouse/mouse_3 (nan)      band_aid/band_aid_1 (nan)      screwdriver/screwdriver_2 (nan)      pliers/pliers_1 (nan)      ,bowl/bowl_3 (nan) plate/plate_4 (nan) ,plate/plate_4 (nan) bowl/bowl_3 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
ceram,screwdriver/screwdriver_2 (nan)      plate/plate_4 (nan)      bowl/bowl_3 (nan)      band_aid/band_aid_1 (nan)      ,bowl/bowl_3 (nan) plate/plate_4 (nan) ,plate/plate_4 (nan) bowl/bowl_3 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
ceram,screwdriver/screwdriver_2 (nan)      bowl/bowl_3 (nan)      band_aid/band_aid_1 (nan)      plate/plate_4 (nan)      ,bowl/bowl_3 (nan) plate/plate_4 (nan) ,bowl/bowl_3 (nan) plate/plate_4 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
ceram,plate/plate_4 (nan)      bowl/bowl_3 (nan)      screwdriver/screwdriver_2 (nan)      band_aid/band_aid_1 (nan)      ,bowl/bowl_3 (nan) plate/plate_4 (nan) ,plate/plate_4 (nan) bowl/bowl_3 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
ceram,band_aid/band_aid_1 (nan)      screwdriver/screwdriver_2 (nan)      bowl/bowl_3 (nan)      bowl/bowl_3 (nan)      plate/plate_4 (nan)      ,bowl/bowl_3 (nan) plate/plate_4 (nan) bowl/bowl_3 (nan) ,bowl/bowl_3 (nan) bowl/bowl_3 (nan) plate/plate_4 (nan) ,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
ceram,screwdriver/screwdriver_2 (nan)      bowl/bowl_3 (nan)      pliers/pliers_1 (nan)      band_aid/band_aid_1 (nan)      ,bowl/bowl_3 (nan) ,bowl/bowl_3 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - ceram,,,,,,,,0.975,1.0,0.9666666666666666,0.9800000000000001
 ,,,,,,,,,,,
cap,screwdriver/screwdriver_2 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      cap/cap_2 (nan)      band_aid/band_aid_1 (nan)      ,cap/cap_2 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) ,presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) cap/cap_2 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cap,presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      cap/cap_2 (nan)      band_aid/band_aid_1 (nan)      screwdriver/screwdriver_2 (nan)      ,cap/cap_2 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) ,cap/cap_2 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) ,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
cap,presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      cap/cap_2 (nan)      band_aid/band_aid_1 (nan)      cap/cap_2 (nan)      screwdriver/screwdriver_2 (nan)      pliers/pliers_1 (nan)      ,cap/cap_2 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) cap/cap_2 (nan) ,cap/cap_2 (nan) cap/cap_2 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) ,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
cap,screwdriver/screwdriver_2 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      allen_wrench/allen_wrench_2 (nan)      band_aid/band_aid_1 (nan)      cap/cap_2 (nan)      pliers/pliers_1 (nan)      ,cap/cap_2 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) ,presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) cap/cap_2 (nan) band_aid/band_aid_1 (nan) ,2.0,3.0,1.0,0.0,0.833333333333,0.666666666667,1.0,0.8
cap,screwdriver/screwdriver_2 (nan)      pliers/pliers_1 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      band_aid/band_aid_1 (nan)      allen_wrench/allen_wrench_2 (nan)      cap/cap_2 (nan)      ,cap/cap_2 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) ,cap/cap_2 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
cap,pliers/pliers_1 (nan)      band_aid/band_aid_1 (nan)      allen_wrench/allen_wrench_2 (nan)      screwdriver/screwdriver_2 (nan)      cap/cap_2 (nan)      ,cap/cap_2 (nan) ,cap/cap_2 (nan) ,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
cap,pliers/pliers_1 (nan)      band_aid/band_aid_1 (nan)      screwdriver/screwdriver_2 (nan)      cap/cap_2 (nan)      ,cap/cap_2 (nan) ,cap/cap_2 (nan) ,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
cap,cap/cap_2 (nan)      pliers/pliers_1 (nan)      screwdriver/screwdriver_2 (nan)      band_aid/band_aid_1 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      ,cap/cap_2 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) ,cap/cap_2 (nan) band_aid/band_aid_1 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) ,2.0,2.0,1.0,0.0,0.8,0.666666666667,1.0,0.8
cap,cap/cap_2 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      screwdriver/screwdriver_2 (nan)      band_aid/band_aid_1 (nan)      pliers/pliers_1 (nan)      ,cap/cap_2 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) ,cap/cap_2 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) ,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0
cap,screwdriver/screwdriver_2 (nan)      presciption_medicine_bottle/presciption_medicine_bottle_3 (nan)      allen_wrench/allen_wrench_2 (nan)      pliers/pliers_1 (nan)      band_aid/band_aid_1 (nan)      cap/cap_2 (nan)      ,cap/cap_2 (nan) presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) ,presciption_medicine_bottle/presciption_medicine_bottle_3 (nan) cap/cap_2 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
Total - cap,,,,,,,,0.9633333333333333,0.9333333333333332,1.0,0.96
 ,,,,,,,,,,,
comput,mouse/mouse_3 (nan)      bell_pepper/bell_pepper_3 (nan)      mouse/mouse_3 (nan)      band_aid/band_aid_1 (nan)      screwdriver/screwdriver_2 (nan)      ,mouse/mouse_3 (nan) mouse/mouse_3 (nan) mouse/mouse_3 (nan) ,mouse/mouse_3 (nan) mouse/mouse_3 (nan) ,2.0,2.0,0.0,1.0,0.8,1.0,0.666666666667,0.8
