,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.5397721683323535,0.7072319608913524,-1.0,-1.0,0.6580676317852243,0.8781407995296884
banana,0.2474338624338624,0.511504157218443,1.0,1.0,0.42233686067019394,0.7693121693121694
corn,0.40629629629629627,0.6108226253464349,1.0,1.0,0.48470899470899464,0.9087301587301587
cube,0.9051410934744267,0.9276190476190476,1.0,1.0,1.0,0.8861552028218695
cucumber,0.41286596119929453,0.6113693625598386,1.0,1.0,0.48284832451499116,0.9171075837742504
fruit,0.24012345679012345,0.5084530108339632,1.0,1.0,0.41832451499118156,0.7705467372134038
green,0.4117724867724868,0.608771730914588,1.0,1.0,0.47970899470899475,0.9201940035273367
look,0.8250000000000001,0.9167724867724868,0.5,1.0,1.0,0.8705026455026454
salad,0.5469576719576721,0.7066893424036282,0.6666666666666666,1.0,0.6346825396825397,0.9171957671957673
used,0.8428571428571427,0.9452380952380954,0.0,1.0,1.0,0.914021164021164
yellow,0.8642857142857141,0.9561199294532627,0.0,2.3333333333333335,1.0,0.9335097001763668
