,Accuracy,F1-Score,Num Negative Examples,Num Positive Examples,Precision,Recall
ALL_TOKENS,0.6514444444444446,0.7706698412698412,-1.0,-1.0,0.7353194444444444,0.9024027777777778
banana,0.5239444444444444,0.6717936507936508,1.0,1.0,0.631111111111111,0.8272222222222221
corn,0.6091111111111112,0.7453174603174604,1.0,1.0,0.6772222222222222,0.9205555555555555
cube,0.8842222222222222,0.9087777777777778,1.0,1.0,0.9519444444444444,0.8983333333333332
cucumber,0.5908333333333334,0.7333730158730158,1.0,1.0,0.6651666666666666,0.91
fruit,0.2566666666666667,0.5102857142857142,1.0,1.0,0.42600000000000005,0.7725000000000001
green,0.392,0.5752857142857143,1.0,1.6666666666666667,0.4366111111111111,0.9405555555555556
like,0.8949999999999999,0.9632222222222221,0.0,1.6666666666666667,1.0,0.9422222222222222
looks,0.8225,0.9373333333333335,0.0,1.0,1.0,0.9016666666666664
used,0.3666666666666666,0.607404761904762,1.0,1.0,0.49833333333333335,0.8583333333333332
yellow,0.8464999999999999,0.8816904761904764,0.3333333333333333,1.6666666666666667,0.8599444444444445,0.9566666666666666
