Classifier,Test Object Images,Ground Truth,Selected by Classifier,True Positive,True Negative,False Positive,False Negative,Accuracy,Precision,Recall,F1-Score
 ,,,,,,,,,,,
bell,pliers/pliers_1 (nan)      bell_pepper/bell_pepper_5 (nan)      bell_pepper/bell_pepper_5 (nan)      band_aid/band_aid_1 (nan)      ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) band_aid/band_aid_1 (nan) ,2.0,1.0,1.0,0.0,0.75,0.666666666667,1.0,0.8
bell,bell_pepper/bell_pepper_5 (nan)      bell_pepper/bell_pepper_5 (nan)      band_aid/band_aid_1 (nan)      ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) ,bell_pepper/bell_pepper_5 (nan) ,1.0,0.0,0.0,2.0,0.333333333333,1.0,0.333333333333,0.5
bell,pliers/pliers_1 (nan)      band_aid/band_aid_1 (nan)      bell_pepper/bell_pepper_5 (nan)      ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) ,bell_pepper/bell_pepper_5 (nan) ,1.0,1.0,0.0,1.0,0.666666666667,1.0,0.5,0.666666666667
bell,shampoo/shampoo_2 (nan)      bell_pepper/bell_pepper_5 (nan)      bell_pepper/bell_pepper_5 (nan)      eye_glasses/eye_glasses_1 (nan)      band_aid/band_aid_1 (nan)      pliers/pliers_1 (nan)      ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) ,2.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0
bell,band_aid/band_aid_1 (nan)      bell_pepper/bell_pepper_5 (nan)      bell_pepper/bell_pepper_5 (nan)      ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) ,2.0,0.0,0.0,1.0,0.666666666667,1.0,0.666666666667,0.8
bell,pliers/pliers_1 (nan)      bell_pepper/bell_pepper_5 (nan)      eye_glasses/eye_glasses_1 (nan)      band_aid/band_aid_1 (nan)      shampoo/shampoo_2 (nan)      ,bell_pepper/bell_pepper_5 (nan) ,,0.0,4.0,0.0,1.0,0.8,0.0,0.0,0.0
bell,shampoo/shampoo_2 (nan)      bell_pepper/bell_pepper_5 (nan)      pliers/pliers_1 (nan)      band_aid/band_aid_1 (nan)      eye_glasses/eye_glasses_1 (nan)      bell_pepper/bell_pepper_5 (nan)      ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) ,bell_pepper/bell_pepper_5 (nan) band_aid/band_aid_1 (nan) ,1.0,3.0,1.0,1.0,0.666666666667,0.5,0.5,0.5
bell,bell_pepper/bell_pepper_5 (nan)      bell_pepper/bell_pepper_5 (nan)      eye_glasses/eye_glasses_1 (nan)      band_aid/band_aid_1 (nan)      bell_pepper/bell_pepper_5 (nan)      pliers/pliers_1 (nan)      ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) ,2.0,3.0,0.0,1.0,0.833333333333,1.0,0.666666666667,0.8
bell,pliers/pliers_1 (nan)      bell_pepper/bell_pepper_5 (nan)      bell_pepper/bell_pepper_5 (nan)      bell_pepper/bell_pepper_5 (nan)      band_aid/band_aid_1 (nan)      ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) ,bell_pepper/bell_pepper_5 (nan) bell_pepper/bell_pepper_5 (nan) ,2.0,2.0,0.0,1.0,0.8,1.0,0.666666666667,0.8
